latitude,longitude,altitude,geometry,LST_Day_1km_max,LST_Day_1km_mean,LST_Day_1km_min,area_name,centroid_lat,centroid_lon,color_max,color_min
25.30144324825781,55.51703624408665,,Point,49.07545454545458,47.50589930679237,45.77341463414639,muwaileh_suburb,25.301443248257815,55.51703624408665,48.686440677966154,36.716608695652205
25.353297902413775,55.3810816625456,,Point,38.637191011235984,38.611584039687266,38.58158730158735,jubail,25.353297902413775,55.3810816625456,48.686440677966154,36.716608695652205
25.345871897368642,55.420673671701934,,Point,42.99571428571429,42.25942833635332,40.92291338582679,halwan,25.345871897368642,55.420673671701934,48.686440677966154,36.716608695652205
25.33374921278311,55.44445451967561,,Point,46.852131147541,43.649788351214205,42.484015748031524,mughaider_suburb,25.33374921278311,55.44445451967561,48.686440677966154,36.716608695652205
25.331947888797444,55.38303623025247,,Point,39.581406250000036,37.78051348379275,35.87834951456313,majaz,25.331947888797444,55.38303623025247,48.686440677966154,36.716608695652205
25.305104041179238,55.47033213998739,,Point,48.46880341880345,47.40731354971165,44.786190476190505,zahia,25.30510404117923,55.47033213998739,48.686440677966154,36.716608695652205
25.320547703787728,55.4233189359967,,Point,48.427948717948745,45.34255443927642,38.469626168224316,industrial,25.320547703787728,55.42331893599669,48.686440677966154,36.716608695652205
25.27717590237974,55.497937737619246,,Point,49.131367521367544,47.538370222574365,45.20444444444446,noaf,25.27717590237974,55.497937737619246,48.686440677966154,36.716608695652205
25.346731908581635,55.39069921236536,,Point,39.74920000000001,39.33478523971537,38.469626168224316,qasmiyah,25.346731908581635,55.39069921236536,48.686440677966154,36.716608695652205
25.338615922866975,55.39752058841496,,Point,41.126825396825446,39.44683892400869,38.469626168224316,abushagarah,25.338615922866975,55.39752058841496,48.686440677966154,36.716608695652205
25.350297790979663,55.40471534230419,,Point,42.14259842519688,41.038031476892485,39.74920000000001,yarmouk,25.350297790979663,55.40471534230419,48.686440677966154,36.716608695652205
25.354871701744845,55.39720632233019,,Point,41.126825396825446,39.95529399835476,38.22730158730161,mussalla,25.354871701744845,55.39720632233019,48.686440677966154,36.716608695652205
25.35793731168824,55.39096831999655,,Point,39.68590551181106,38.95367418859613,37.52210526315793,ghuwair,25.357937311688243,55.39096831999655,48.686440677966154,36.716608695652205
