latitude,longitude,altitude,geometry,coordinates,NO2_column_number_density_max,NO2_column_number_density_mean,NO2_column_number_density_min,NO2_column_number_density_p25,NO2_column_number_density_p50,NO2_column_number_density_p75,NO2_column_number_density_stdDev,area_name,centroid_lat,centroid_lon,date,day,geometry_type,month,year
,,,Polygon,"55.52306880513846,25.27892224495855,55.52950610677421,25.288739704492663,55.536758241704696,25.2984397291951,55.54289569417654,25.307247140342774,55.54358989353386,25.310602688465835,55.54376913295197,25.313958235302405,55.524558064310796,25.316888383155174,55.505431788741994,25.320514335918226,55.50483097392266,25.31822556004831,55.49671944807493,25.306917502724335,55.48830905937457,25.29570595848976,55.52306880513846,25.27892224495855",0.000334906333591789,0.00030997012934076294,0.0002813106864373838,0.0003061091701965779,0.0003061091701965779,0.0003146033082928906,0.00001312540523446884,muwaileh_suburb,25.30160658284267,55.516946501810445,2018-07-11,11,polygon,7,2018
,,,Polygon,"55.52306880513846,25.27892224495855,55.52950610677421,25.288739704492663,55.536758241704696,25.2984397291951,55.54289569417654,25.307247140342774,55.54358989353386,25.310602688465835,55.54376913295197,25.313958235302405,55.524558064310796,25.316888383155174,55.505431788741994,25.320514335918226,55.50483097392266,25.31822556004831,55.49671944807493,25.306917502724335,55.48830905937457,25.29570595848976,55.52306880513846,25.27892224495855",,,,,,,,muwaileh_suburb,25.30160658284267,55.516946501810445,2018-07-12,12,polygon,7,2018
,,,Polygon,"55.52306880513846,25.27892224495855,55.52950610677421,25.288739704492663,55.536758241704696,25.2984397291951,55.54289569417654,25.307247140342774,55.54358989353386,25.310602688465835,55.54376913295197,25.313958235302405,55.524558064310796,25.316888383155174,55.505431788741994,25.320514335918226,55.50483097392266,25.31822556004831,55.49671944807493,25.306917502724335,55.48830905937457,25.29570595848976,55.52306880513846,25.27892224495855",0.00018419697880744934,0.00018232807602012145,0.00015900596918072551,0.00018419697880744934,0.00018419697880744934,0.00018419697880744934,0.00000878285365600916,muwaileh_suburb,25.30160658284267,55.516946501810445,2018-07-12,12,polygon,7,2018
,,,Polygon,"55.52306880513846,25.27892224495855,55.52950610677421,25.288739704492663,55.536758241704696,25.2984397291951,55.54289569417654,25.307247140342774,55.54358989353386,25.310602688465835,55.54376913295197,25.313958235302405,55.524558064310796,25.316888383155174,55.505431788741994,25.320514335918226,55.50483097392266,25.31822556004831,55.49671944807493,25.306917502724335,55.48830905937457,25.29570595848976,55.52306880513846,25.27892224495855",0.00021655067930390236,0.00020168418296169163,0.00018509583605919033,0.00019869571445646825,0.00020579049716493416,0.00020579899137374014,0.000008047384150812402,muwaileh_suburb,25.30160658284267,55.516946501810445,2018-07-13,13,polygon,7,2018
,,,Polygon,"55.52306880513846,25.27892224495855,55.52950610677421,25.288739704492663,55.536758241704696,25.2984397291951,55.54289569417654,25.307247140342774,55.54358989353386,25.310602688465835,55.54376913295197,25.313958235302405,55.524558064310796,25.316888383155174,55.505431788741994,25.320514335918226,55.50483097392266,25.31822556004831,55.49671944807493,25.306917502724335,55.48830905937457,25.29570595848976,55.52306880513846,25.27892224495855",0.0004938989295624197,0.00039549645303921574,0.00033254010941304436,0.0003325961297377944,0.00035891152219846845,0.0004734057065370948,0.0000696600983365628,muwaileh_suburb,25.30160658284267,55.516946501810445,2018-07-14,14,polygon,7,2018
,,,Polygon,"55.52306880513846,25.27892224495855,55.52950610677421,25.288739704492663,55.536758241704696,25.2984397291951,55.54289569417654,25.307247140342774,55.54358989353386,25.310602688465835,55.54376913295197,25.313958235302405,55.524558064310796,25.316888383155174,55.505431788741994,25.320514335918226,55.50483097392266,25.31822556004831,55.49671944807493,25.306917502724335,55.48830905937457,25.29570595848976,55.52306880513846,25.27892224495855",0.0005065748118795455,0.0004256280274419796,0.0003975729050580412,0.000418434152379632,0.000418434152379632,0.00042027131852765456,0.00003140732176871623,muwaileh_suburb,25.30160658284267,55.516946501810445,2018-07-15,15,polygon,7,2018
,,,Polygon,"55.52306880513846,25.27892224495855,55.52950610677421,25.288739704492663,55.536758241704696,25.2984397291951,55.54289569417654,25.307247140342774,55.54358989353386,25.310602688465835,55.54376913295197,25.313958235302405,55.524558064310796,25.316888383155174,55.505431788741994,25.320514335918226,55.50483097392266,25.31822556004831,55.49671944807493,25.306917502724335,55.48830905937457,25.29570595848976,55.52306880513846,25.27892224495855",0.00046338181709870696,0.0004426215336218885,0.0004383956838864833,0.0004383956838864833,0.0004383956838864833,0.00043976811968144986,0.000009620997478076016,muwaileh_suburb,25.30160658284267,55.516946501810445,2018-07-16,16,polygon,7,2018
,,,Polygon,"55.52306880513846,25.27892224495855,55.52950610677421,25.288739704492663,55.536758241704696,25.2984397291951,55.54289569417654,25.307247140342774,55.54358989353386,25.310602688465835,55.54376913295197,25.313958235302405,55.524558064310796,25.316888383155174,55.505431788741994,25.320514335918226,55.50483097392266,25.31822556004831,55.49671944807493,25.306917502724335,55.48830905937457,25.29570595848976,55.52306880513846,25.27892224495855",0.0001899438793770969,0.00017603100793238464,0.00016169466834980994,0.00016169466834980994,0.000173533071214354,0.0001899438793770969,0.00001249138957511834,muwaileh_suburb,25.30160658284267,55.516946501810445,2018-07-17,17,polygon,7,2018
,,,Polygon,"55.52306880513846,25.27892224495855,55.52950610677421,25.288739704492663,55.536758241704696,25.2984397291951,55.54289569417654,25.307247140342774,55.54358989353386,25.310602688465835,55.54376913295197,25.313958235302405,55.524558064310796,25.316888383155174,55.505431788741994,25.320514335918226,55.50483097392266,25.31822556004831,55.49671944807493,25.306917502724335,55.48830905937457,25.29570595848976,55.52306880513846,25.27892224495855",0.00013538078928831965,0.00013060657737753144,0.00012813812645617872,0.00012813812645617872,0.0001283504174841612,0.0001353663231152905,0.000003374752432870546,muwaileh_suburb,25.30160658284267,55.516946501810445,2018-07-17,17,polygon,7,2018
,,,Polygon,"55.52306880513846,25.27892224495855,55.52950610677421,25.288739704492663,55.536758241704696,25.2984397291951,55.54289569417654,25.307247140342774,55.54358989353386,25.310602688465835,55.54376913295197,25.313958235302405,55.524558064310796,25.316888383155174,55.505431788741994,25.320514335918226,55.50483097392266,25.31822556004831,55.49671944807493,25.306917502724335,55.48830905937457,25.29570595848976,55.52306880513846,25.27892224495855",0.0005705238932413197,0.00048136498950710415,0.0003492972464300692,0.0004969515139237046,0.0004969515139237046,0.0004969515139237046,0.000056591591825802647,muwaileh_suburb,25.30160658284267,55.516946501810445,2018-07-20,20,polygon,7,2018
